"id","category","name_ro","name_ru","description_ro","description_ru","price","image_url","tag_ro","tag_ru","image_fit","active","order"
"big-pork-beef-burger","burger","Big Pork-Beef Burger 340g","Большой бургер со свининой и говядиной 340 г","dublu carne vită-porc, dublu bacon, roșii, dublu cașcaval, castraveți murați, ceapă, salată lollo, sos","Двойная порция говядины и свинины, двойной бекон, помидоры, двойной сыр, маринованные огурцы, лук, салат лолло, соус","95","","Big","Большой","cover","TRUE","4"
"big-daily-burger","burger","Big Daily Burger 340g","Big Daily Burger 340 г","dublu carne de porc, dublu bacon, dublu cașcaval, sos BBQ","Двойная порция свинины, двойной бекон, двойной сыр, соус BBQ","95","","Daily","Daily","cover","TRUE","5"
"chicken-burger","burger","Chicken Burger 300g","Куриный бургер 300 г","pârjoală crispy de pui, roșii, ceapă, salată lollo, sos","Хрустящая куриная котлета, помидоры, лук, салат лолло, соус","75","","","","cover","TRUE","6"
"pork-beef-burger","burger","Pork-Beef Burger 250g","Бургер со свининой и говядиной 250 г","pârjoală vită-porc, roșii, cașcaval, castraveți murați, ceapă, salată lollo, sos","Котлета из говядины и свинины, помидоры, сыр, маринованные огурцы, лук, салат лолло, соус","75","","","","cover","TRUE","7"
"bacon-burger","burger","Bacon Burger 260g","Бургер с беконом 260 г","pârjoală porc, dublu bacon, roșii, cașcaval, castraveți murați, sos","Свиная котлета, двойной бекон, помидоры, сыр, маринованные огурцы, соус","80","","","","cover","TRUE","8"
"daily-special-meniu","kebab-menu","Daily Special Meniu","Меню Daily Special","Daily Special Kebab, cartofi pai, sos, băutură 0.5l la alegere (Coca-Cola/Fanta/Sprite/Dorna)","Daily Special Kebab, картофель фри, соус, напиток 0,5 л на выбор (Coca-Cola/Fanta/Sprite/Dorna)","150","","Special","Особый","cover","TRUE","1"
"kebab-pui-meniu","kebab-menu","Kebab Pui Menu","Меню с куриным кебабом","Kebab Pui, cartofi pai, sos, băutură 0.5l la alegere","Кебаб с курицей, картофель фри, соус, напиток 0,5 л на выбор","130","","Popular","Популярное","cover","TRUE","2"
"cheese-kebab-pui-meniu","kebab-menu","Cheese Kebab Pui Menu","Меню с сырным куриным кебабом","Cheese Kebab Pui, cartofi pai, sos, băutură 0.5l la alegere","Сырный кебаб с курицей, картофель фри, соус, напиток 0,5 л на выбор","150","","","","cover","TRUE","3"
"combo-efes-kebab-pui","kebab-menu","Combo Efes Kebab de Pui","Комбо Efes с куриным кебабом","Kebab Pui, cartofi pai, sos, Efes 0.5l la alegere (Efes, Efes Blanche, Efes 0)","Кебаб с курицей, картофель фри, соус, Efes 0,5 л на выбор (Efes, Efes Blanche, Efes 0)","140","","","","contain","TRUE","4"
"nuggets-kebab-meniu","kebab-menu","Nuggets Kebab Menu","Меню с кебабом и наггетсами","Nuggets Kebab, cartofi pai, sos, băutură 0.5l la alegere","Кебаб с наггетсами, картофель фри, соус, напиток 0,5 л на выбор","130","","","","cover","TRUE","5"
"cheese-nuggets-kebab-meniu","kebab-menu","Cheese Nuggets Kebab Menu","Меню с сырным кебабом и наггетсами","Cheese Nuggets Kebab, cartofi pai, sos, băutură 0.5l la alegere","Сырный кебаб с наггетсами, картофель фри, соус, напиток 0,5 л на выбор","155","","","","cover","TRUE","6"
"kebab-porc-meniu","kebab-menu","Kebab de Porc Menu","Меню с кебабом из свинины","Kebab Porc, cartofi pai, sos, băutură 0.5l la alegere","Кебаб со свининой, картофель фри, соус, напиток 0,5 л на выбор","140","","","","cover","TRUE","7"
"combo-efes-kebab-porc","kebab-menu","Combo Efes Kebab de Porc","Комбо Efes с кебабом из свинины","Kebab Porc, cartofi pai, sos, Efes 0.5l la alegere","Кебаб со свининой, картофель фри, соус, Efes 0,5 л на выбор","150","","","","contain","TRUE","8"
"daily-falafel-kebab-meniu","kebab-menu","Daily Falafel Kebab Meniu","Меню Daily Falafel Kebab","Daily Falafel Kebab, cartofi pai, sos, băutură 0.5l","Daily Falafel Kebab, картофель фри, соус, напиток 0,5 л","130","","Veggie","Вегетарианский","contain","TRUE","9"
"daily-kebab-de-post-meniu","kebab-menu","Daily Kebab de Post Meniu","Меню с постным Daily Kebab","Daily Kebab de post, cartofi pai, sos, băutură 0.5l","Постный Daily Kebab, картофель фри, соус, напиток 0,5 л","130","","De post","Постный","cover","TRUE","10"
"doi-kebab-pui-cartofi","kebab-menu","2 Kebab de Pui + Cartofi Pai","2 кебаба с курицей + картофель фри","Meniu complet pentru o masă consistentă.","Полноценный сытный набор.","125","","Combo","Комбо","cover","TRUE","11"
"combo-trei-kebab-efes","kebab-menu","Combo 3 Kebab + 3 Efes","Комбо 3 кебаба + 3 Efes","Meniu complet pentru o masă consistentă.","Полноценный сытный набор.","245","","De împărțit","Для компании","contain","TRUE","12"
"special-burger-meniu","burger-menu","Special Burger Menu","Меню Special Burger","Special Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Special Burger, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","140","","Special","Особый","contain","TRUE","1"
"chicken-burger-meniu","burger-menu","Chicken Burger Menu","Меню с куриным бургером","Chicken Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Куриный бургер, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","115","","","","cover","TRUE","2"
"big-pork-beef-burger-meniu","burger-menu","Big Pork-Beef Burger Menu","Меню с большим бургером со свининой и говядиной","Big Pork-Beef Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Большой бургер со свининой и говядиной, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","140","","Big","Большой","cover","TRUE","3"
"combo-efes-big-pork-beef-burger","burger-menu","Combo Efes Big Pork-Beef Burger","Комбо Efes с большим бургером со свининой и говядиной","Big Pork-Beef Burger, cartofi, sos, Efes 0.5l la alegere (Efes, Efes Blanche, Efes 0)","Большой бургер со свининой и говядиной, картофель, соус, Efes 0,5 л на выбор (Efes, Efes Blanche, Efes 0)","150","","","","contain","TRUE","4"
"big-daily-burger-meniu","burger-menu","Big Daily Burger Menu","Меню Big Daily Burger","Big Daily Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Big Daily Burger, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","140","","Daily","Daily","cover","TRUE","5"
"combo-efes-big-daily-burger","burger-menu","Combo Efes Big Daily Burger","Комбо Efes с Big Daily Burger","Big Daily Burger, cartofi, sos, Efes 0.5l la alegere (Efes, Efes Blanche, Efes 0)","Big Daily Burger, картофель, соус, Efes 0,5 л на выбор (Efes, Efes Blanche, Efes 0)","150","","","","contain","TRUE","6"
"bacon-burger-meniu","burger-menu","Bacon Burger Menu","Меню с бургером с беконом","Bacon Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Бургер с беконом, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","120","","","","cover","TRUE","7"
"american-burger-meniu","burger-menu","American Burger Menu","Меню с американским бургером","American Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Американский бургер, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","115","","","","cover","TRUE","8"
"pork-beef-burger-meniu","burger-menu","Pork-Beef Burger Menu","Меню с бургером со свининой и говядиной","Pork-Beef Burger, cartofi pai, sos, băutură 0.5l (Coca-Cola/Fanta/Sprite/Dorna)","Бургер со свининой и говядиной, картофель фри, соус, напиток 0,5 л (Coca-Cola/Fanta/Sprite/Dorna)","120","","","","cover","TRUE","9"
"promo-doi-big-beef","burger-menu","Promo 2 Big Beef + Cartofi","Промо 2 Big Beef + картофель","Burger în combinație de meniu.","Бургер в составе комбо-набора.","165","","Promo","Промо","cover","TRUE","10"
"combo-crispy-hot-dog","croki-menu","Combo Crispy Hot-Dog","Комбо с хрустящим хот-догом","Crispy hotdog, cartofi pai, sos la alegere (BBQ, ketchup, garlic, iute), băutură 0.5l la alegere (Coca-Cola, Fanta, Sprite)","Хрустящий хот-дог, картофель фри, соус на выбор (BBQ, кетчуп, чесночный, острый), напиток 0,5 л на выбор (Coca-Cola, Fanta, Sprite)","105","","","","cover","TRUE","1"
"crispy-hot-dog","croki-menu","Crispy Hot-Dog 260g","Хрустящий хот-дог 260 г","Chiflă, crispy nuggets pui, iceberg, sos cheddar, sos garlic","Булочка, хрустящие куриные наггетсы, салат айсберг, соус чеддер, чесночный соус","65","","","","cover","TRUE","2"
"combo-hot-dog-classic","croki-menu","Combo Hot-Dog Classic","Комбо с классическим хот-догом","Classic hotdog, cartofi pai, sos la alegere (BBQ, ketchup, garlic, iute), băutură 0.5l la alegere (Coca-Cola, Fanta, Sprite)","Классический хот-дог, картофель фри, соус на выбор (BBQ, кетчуп, чесночный, острый), напиток 0,5 л на выбор (Coca-Cola, Fanta, Sprite)","95","","","","cover","TRUE","3"
"hot-dog-classic","croki-menu","Hot-Dog Classic","Классический хот-дог","Chiflă, crenvurșcă porc-vită, morcov coreean, sos","Булочка, сосиска из свинины и говядины, морковь по-корейски, соус","50","","","","contain","TRUE","4"
"combo-hot-dog-cheddar","croki-menu","Combo Hot-Dog Cheddar","Комбо с хот-догом с чеддером","Cheddar hotdog, cartofi pai, sos la alegere (BBQ, ketchup, garlic, iute), băutură 0.5l la alegere (Coca-Cola, Fanta, Sprite)","Хот-дог с чеддером, картофель фри, соус на выбор (BBQ, кетчуп, чесночный, острый), напиток 0,5 л на выбор (Coca-Cola, Fanta, Sprite)","100","","","","cover","TRUE","5"
"hot-dog-cheddar","croki-menu","Hot-Dog Cheddar","Хот-дог с чеддером","Chiflă, crenvurșcă porc-vită, cheddar, sos, ceapă prăjită","Булочка, сосиска из свинины и говядины, чеддер, соус, жареный лук","60","","","","contain","TRUE","6"
"inele-calamar","croki-menu","Inele de Calamar (8 buc.)","Кольца кальмара (8 шт.)","Inele de calamar (8 buc.) + sos","Кольца кальмара (8 шт.) + соус","70","","","","cover","TRUE","7"
"nuggets-pui","croki-menu","Nuggets de Pui 220g","Куриные наггетсы 220 г","Nuggets de pui 220g + sos","Куриные наггетсы 220 г + соус","75","","","","cover","TRUE","8"
"cheese-sticks","croki-menu","Cheese Sticks 170g","Сырные палочки 170 г","Cheese Sticks 170g + sos","Сырные палочки 170 г + соус","60","","","","cover","TRUE","9"
"cartofi-pai","croki-menu","Cartofi Pai 130g","Картофель фри 130 г","Cartofi pai 130g + sos","Картофель фри 130 г + соус","35","","","","cover","TRUE","10"
"aripioare-crocante","croki-menu","Aripioare Crocante 220g","Хрустящие крылышки 220 г","Aripioare crocante 220g + sos","Хрустящие крылышки 220 г + соус","75","","Croki","Croki","cover","TRUE","11"
"bbq-wings","croki-menu","BBQ Wings 220g","Крылышки BBQ 220 г","BBQ Wings 220g + sos","Крылышки BBQ 220 г + соус","75","","","","cover","TRUE","12"
"chilli-wings","croki-menu","Chilli Wings 220g","Крылышки чили 220 г","Chilli Wings 220g + sos","Крылышки чили 220 г + соус","75","","Picant","Острое","cover","TRUE","13"
"inele-ceapa","croki-menu","Inele de Ceapă 120g","Луковые кольца 120 г","Inele de ceapă 120g + sos","Луковые кольца 120 г + соус","45","","","","cover","TRUE","14"
"sos-bbq","croki-menu","Sos BBQ","Соус BBQ","Sos pentru gustul tău preferat.","Соус к вашему любимому блюду.","12","","","","cover","TRUE","15"
"ketchup","croki-menu","Ketchup","Кетчуп","Sos pentru gustul tău preferat.","Соус к вашему любимому блюду.","10","","","","cover","TRUE","16"
"maioneza","croki-menu","Maioneză","Майонез","Sos pentru gustul tău preferat.","Соус к вашему любимому блюду.","10","","","","cover","TRUE","17"
"sos-burger","croki-menu","Sos Burger","Бургер-соус","Sos pentru gustul tău preferat.","Соус к вашему любимому блюду.","12","","","","cover","TRUE","18"
"sos-usturoi","croki-menu","Sos de Usturoi","Чесночный соус","Sos pentru gustul tău preferat.","Соус к вашему любимому блюду.","12","","","","cover","TRUE","19"
"salata-caesar","salate","Salată Caesar","Салат Цезарь","iceberg, carne pui, parmezan, roșii, pesmeți, ouă","Салат айсберг, куриное мясо, пармезан, помидоры, сухарики, яйца","90","","Fresh","Свежий","cover","TRUE","1"
"salata-greceasca","salate","Salată Grecească","Греческий салат","roșii, castraveți, ardei dulce, ceapă, brânză feta, ulei de măsline","Помидоры, огурцы, сладкий перец, лук, сыр фета, оливковое масло","75","","Fresh","Свежий","cover","TRUE","2"
"coca-cola","bauturi","Coca-Cola 0.5l","Coca-Cola 0,5 л","Băutură răcoritoare carbogazoasă Coca-Cola 0.5l","Газированный прохладительный напиток Coca-Cola 0,5 л","25","","","","cover","TRUE","1"
"fanta","bauturi","Fanta 0.5l","Fanta 0,5 л","Băutură răcoritoare carbogazoasă Fanta 0.5l","Газированный прохладительный напиток Fanta 0,5 л","25","","","","cover","TRUE","2"
"sprite","bauturi","Sprite 0.5l","Sprite 0,5 л","Băutură răcoritoare carbogazoasă Sprite 0.5l","Газированный прохладительный напиток Sprite 0,5 л","25","","","","cover","TRUE","3"
"dorna","bauturi","Dorna 0.5l","Dorna 0,5 л","Apă Dorna 0.5l","Вода Dorna 0,5 л","15","","","","cover","TRUE","4"
"fuze-tea","bauturi","Fuze Tea 0.5l","Fuze Tea 0,5 л","Ceai rece Fuze Tea 0.5l","Холодный чай Fuze Tea 0,5 л","25","","","","cover","TRUE","5"
"efes-pilsner","bauturi","Efes Pilsner 0.5l","Efes Pilsner 0,5 л","Bere Efes Pilsner 0.5l","Пиво Efes Pilsner 0,5 л","45","","","","cover","TRUE","6"
"efes-blanche","bauturi","Efes Blanche 0.5l","Efes Blanche 0,5 л","Bere Efes Blanche 0.5l","Пиво Efes Blanche 0,5 л","45","","","","cover","TRUE","7"
"kozel-blonda","bauturi","Kozel Blondă 0.5l","Kozel светлое 0,5 л","Bere blondă Kozel 0.5l","Светлое пиво Kozel 0,5 л","45","","","","cover","TRUE","8"
"corona-extra","bauturi","Corona Extra 0.33l","Corona Extra 0,33 л","Bere Corona Extra 0.33l","Пиво Corona Extra 0,33 л","60","","","","cover","TRUE","9"
